COD_UN_CONS_UEE,COD_CLAS_CONS_UEE,NOM_COMP_CLI,COD_GRU_TENS_ORIG_UEE,COD_GRU_TENS_FAT_UEE,COD_SITU_UEE,SIG_REGI_RLF,NOM_MUN_RLF,ETAPA,QTD_TENS_LIG_UEE,QTD_TENS_SEC_UEE,DTA_SITU_UEE,COD_TIPO_EQIP_REU,NUM_EQIP_REU,DTA_INS_REU,ENDERECO,NUMERO
112585400,7202,MUNICIPIO DE NOVA LONDRINA,A,A,LG,NRO,NOVA LONDRINA,64,34500,,14/02/24,RG,31604039,14/02/24,ROD BR 376,0
112311318,5483,OBJETIVA SERVICOS TERCEIRIZADOS LTDA,A,A,LG,LES,SAO JOSE DOS PINHAIS,69,13800,,12/12/23,RG,40623112,12/12/23,R CASTRO,538
112279996,4642,ADORATTO SUPERMERCADO LTDA,A,A,LG,LES,CURITIBA,62,13800,,22/12/23,RG,35600962,22/12/23,R KONRAD ADENAUER,370
112241301,5465,PARQUE DA CIDADE DIVERSOES E EVENTOS LTDA,A,A,LG,LES,CURITIBA,72,13800,,08/12/23,RG,40620886,08/12/23,AV MANOEL RIBAS,1
112180574,424,COOPERATIVA DE INFRAESTRUTURA E ELETRIFICACAO RURAL DE PALOTINA,A,A,LG,OES,PALOTINA,71,13800,,24/01/24,RG,44628637,24/01/24,R JUSCELINO KUBITSCHEK,1
112163572,165,INDUSTRIA DE PAPEL AMAZONAS LTDA,A,A,LG,CSL,PORTO AMAZONAS,67,13800,,22/01/24,RG,40625471,22/01/24,R LUIZ CHEROBIN,56
112076467,8051,C VALE COOPERATIVA AGROINDUSTRIAL,A,A,LG,OES,MARIPA,71,13800,,11/01/24,RG,40620060,11/01/24,LIN AURORA,1
112069851,51,ASA AMPERE AGROINDUSTRIAL LTDA,A,A,LG,OES,AMPERE,52,13800,,07/12/23,RG,40682427,07/12/23,LIN BALSA,80372
112064949,5524,MAURICIO MAGALHAES SILVA MENEGUETTI,A,A,LG,NRO,MARINGA,71,13800,,17/01/24,RG,44628914,17/01/24,AV NILDO RIBEIRO DA ROCHA,1201
112058930,4496,AMJV EMPREENDIMENTOS PARTICIPACOES E ADM DE BENS LTDA,A,A,LG,NRT,LONDRINA,61,13800,,20/12/23,RG,40682349,20/12/23,ROD CELSO GARCIA CID,130
112040411,3445,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,A,A,LG,LES,SAO JOSE DOS PINHAIS,71,13800,,18/12/23,RG,40624362,18/12/23,EST AVENCAL ANTINHA,0
112039804,424,CLEBER MARTINELLI,A,A,LG,OES,CHOPINZINHO,53,34500,,22/12/23,RG,40622628,22/12/23,LIN CAMPINA,0
112035175,392,DEMOBILE INDUSTRIA DE MOVEIS LTDA,A,A,LG,NRT,ARAPONGAS,70,13800,,20/11/23,RG,40682339,20/11/23,R TICO TICO DO CAMPO,150
112027016,5544,UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MEDICO,A,A,LG,NRT,LONDRINA,69,13800,,29/01/24,RG,44628561,29/01/24,AV DOS EXPEDICIONARIOS,0
112026680,5420,VALE BRANCO PARTICIPACOES LTDA,A,A,LG,NRO,MARINGA,67,13800,,12/01/24,RG,44628906,12/01/24,R CARLOS ROSSI,0
112000622,78,AGROFARMA PRODUTOS ALIMENTICIOS PARA ANIMAIS LTDA,A,A,LG,NRO,SAO JORGE DO PATROCINIO,75,13800,,29/01/24,RG,44628870,29/01/24,EST DA PEDRA,1
111990270,7211,MUNICIPIO DE LONDRINA,A,A,LG,NRT,LONDRINA,65,13800,,01/12/23,RG,40623348,01/12/23,R S CRISTOVAO,50
111972736,4633,IBERICA POLIMEROS LTDA,A,A,LG,NRT,APUCARANA,71,13800,,05/02/24,RG,44628512,05/02/24,ROD BR 376,1
111972132,5490,ENGERISCO MONITORAMENTO LTDA ME,A,A,LG,OES,CASCAVEL,71,13800,,22/12/23,RG,40620445,22/12/23,AV PRES TANCREDO NEVES,1132
111970601,5563,MEDCLINIC CENTRO DIAGNOSTICO POR IMAGEM MEDICINA SEGURANCA TRAB LTDA,A,A,LG,NRO,PARANAVAI,77,13800,,06/11/23,RG,40682536,06/11/23,R ANTONIO FELIPE,1577
111969514,64,CASTRO OLEOS VEGETAIS LTDA,A,A,LG,CSL,CASTRO,71,13800,,15/12/23,RG,40625139,15/12/23,R HERACLIO MENDES DE CAMARGO,610
111966639,157,AGICOMP FORMAS E COMPENSADOS LTDA,A,A,LG,CSL,PALMEIRA,76,13800,,17/01/24,RG,40625135,17/01/24,R DALTON DE FREITAS,0
111948380,3445,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,A,A,LG,NRO,NOVA ESPERANCA,71,13800,,27/10/23,RG,41683310,27/10/23,EST MARAPE,0
111943493,351,AKJ INDUSTRIA E COMERCIO DE PECAS E EQUIPAMENTOS LTDA,A,A,LG,OES,ASSIS CHATEAUBRIAND,74,34500,,31/01/24,RG,44628636,31/01/24,ROD PR 239,1
111933820,5623,DREAMS GAMES E BOLICHE LTDA,A,A,LG,LES,CURITIBA,74,13800,,26/10/23,RG,40623186,26/10/23,R FRANCISCO DEROSSO,88
111933439,78,NNATRIVM INDUSTRIA E COMERCIO DE ALIMENTOS PARA ANIMAIS LTDA,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,66,13800,,07/11/23,RG,40682539,07/11/23,R AMAPA,1363
111918634,424,JDF COMERCIO DE COMBUSTIVEIS LTDA,A,A,LG,NRO,PORTO RICO,41,13800,,25/10/23,RG,40625405,25/10/23,EST SCC URUBU,1
111892236,3445,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,A,A,LG,NRO,LOANDA,67,34500,,01/12/23,RG,40681686,01/12/23,EST LOANDA A PLANALTINA,0
111892104,7302,SECRETARIA DE ESTADO DAS CIDADES,A,A,LG,LES,CURITIBA,61,13800,,29/09/23,RG,40625652,29/09/23,R EURIPEDES GARCEZ DO NASCIMENTO,1195
