MES,ANO,REGIONAL,NOM_MUN_RLF,AREA,AREA_WF,UC,TENSAO_ES,TENSAO_FAT,TIPO_SS,SUB_TIPO_SS,TIPO_OS,SUB_TIPO_OS,DESCRICAO_OS,NUM_SS,NOM_USU_SITU_COS,COD_SITU_COS,DATA_CMPT_ORIG_OS,DATA_SITU_COS,DATA_CONCL_SERV_OS,DATA_LIM_OS,COD_MOTI_REJ_RRO,ETAPA,DES_OBS_ATDE_CMI,DES_OBS_EXEC_SERV_CMI,NOM_USU_INC_COS,DATA_PROGM_COS,NOM_USU_PROGM_COS
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,94451010,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600202,UE_SODR0,CO,07/02/2024,08/02/2024 15:10:06,08/02/2024 15:08:00,14-FEB-24,M2,72.0,,,UE_SODR0,08/02/2024 10:43:18,C051443
2,24,LES,CURITIBA,11213,MEDICAO LESTE,108810321,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615393,UE_SODR3,RJ,08/02/2024,08/02/2024 14:32:04,,,M2,41.0,,,UE_SODR3,,UE_SODR3
2,24,LES,CURITIBA,11213,MEDICAO LESTE,106851217,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615345,UE_SODR1,RJ,08/02/2024,08/02/2024 16:26:06,,,M2,73.0,,,UE_SODR1,,UE_SODR1
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,107861585,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810787732,UE_SODR4,CO,07/02/2024,08/02/2024 13:00:02,08/02/2024 12:20:00,14-FEB-24,K6,62.0,,,UE_SODR1,08/02/2024 07:36:07,C051443
2,24,OES,AMPERE,114043,AGENCIA REALEZA,96864621,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600237,UE_SODR3,CO,05/02/2024,08/02/2024 13:40:02,08/02/2024 13:38:00,08-FEB-24,,52.0,Realizar Leitura Grupo A., FEITA LEITURAS,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,100684343,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615271,UE_SODR3,CO,05/02/2024,08/02/2024 16:06:05,08/02/2024 16:05:00,08-FEB-24,,72.0,Realizar Leitura Grupo A., LEITURA REALIZADA HS,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,72522739,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600081,UE_SODR3,CO,05/02/2024,08/02/2024 15:23:05,08/02/2024 15:22:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,TIJUCAS DO SUL,11213,MEDICAO LESTE,77152395,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600101,UE_SODR0,CO,05/02/2024,08/02/2024 10:30:07,08/02/2024 10:28:00,08-FEB-24,,53.0,Realizar Leitura Grupo A., REALIZADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,CORNELIO PROCOPIO,115021,AGENCIA CORNELIO PROCOPIO,106167537,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615319,UE_SODR4,CO,05/02/2024,08/02/2024 10:51:09,08/02/2024 10:50:00,08-FEB-24,,71.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,SANTA MARIANA,115021,AGENCIA CORNELIO PROCOPIO,111488338,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615455,UE_SODR3,CO,05/02/2024,08/02/2024 15:14:04,08/02/2024 14:44:00,08-FEB-24,,74.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,109774256,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615412,UE_SODR0,CO,05/02/2024,08/02/2024 15:10:04,08/02/2024 15:08:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,108810321,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615393,UE_SODR3,CO,05/02/2024,08/02/2024 14:32:04,08/02/2024 14:31:00,08-FEB-24,,41.0,Realizar Leitura Grupo A.,,C048254,05/02/2024 11:08:00,C048254
2,24,OES,PRANCHITA,114043,AGENCIA REALEZA,46372660,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599985,UE_SODR3,CO,05/02/2024,08/02/2024 11:01:06,08/02/2024 10:56:00,08-FEB-24,,74.0,Realizar Leitura Grupo A., FEITO LEITURAS,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,106851217,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615345,UE_SODR1,CO,05/02/2024,08/02/2024 16:26:06,08/02/2024 15:47:00,08-FEB-24,,73.0,Realizar Leitura Grupo A.,,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,CORNELIO PROCOPIO,115021,AGENCIA CORNELIO PROCOPIO,107256452,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615353,UE_SODR1,CO,05/02/2024,08/02/2024 11:44:05,08/02/2024 11:36:00,08-FEB-24,,58.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,PINHAIS,11213,MEDICAO LESTE,63290766,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600032,UE_SODR2,CO,05/02/2024,08/02/2024 15:15:07,08/02/2024 15:14:00,08-FEB-24,,69.0,Realizar Leitura Grupo A., REALIZADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,69492026,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600063,UE_SODR4,CO,05/02/2024,08/02/2024 10:21:07,08/02/2024 10:20:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., LEITURA OK,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,CORNELIO PROCOPIO,115021,AGENCIA CORNELIO PROCOPIO,69944687,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600067,UE_SODR1,CO,05/02/2024,08/02/2024 10:27:08,08/02/2024 10:25:00,08-FEB-24,,78.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CAMPINA GRANDE DO SUL,11213,MEDICAO LESTE,70084440,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600069,UE_SODR0,CO,05/02/2024,08/02/2024 12:31:04,08/02/2024 12:29:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,5328373,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599835,UE_SODR1,CO,05/02/2024,08/02/2024 11:03:05,08/02/2024 11:02:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., LEITURA OK,C048254,05/02/2024 11:08:00,C048254
