estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
211222,Tim,Maringa,-23.409556,-51.9355,2G 3G 4G 5G
211230,Tim,Maringa,-23.422993,-51.956967,2G 3G 4G 5G
212512,Tim,Sarandi,-23.440917,-51.868083,2G 3G 4G
212520,Tim,Rolandia,-23.303639,-51.355139,2G 3G 4G
212539,Tim,Arapongas,-23.398222,-51.428778,2G 3G 4G
212547,Tim,Apucarana,-23.544567,-51.456128,2G 3G 4G
212687,Tim,Mandaguari,-23.512417,-51.680917,2G 3G 4G
532606,Tim,Paranagua,-25.516056,-48.512194,2G 3G 4G 5G
537799,Tim,Curitiba,-25.395556,-49.295278,2G 3G 4G 5G
537802,Tim,Curitiba,-25.490556,-49.295833,2G 3G 4G 5G
539635,Tim,Curitiba,-25.462778,-49.346944,2G 3G 4G 5G
539643,Tim,Curitiba,-25.376556,-49.218889,2G 3G 4G 5G
539767,Tim,Curitiba,-25.479444,-49.215,2G 3G 4G 5G
539775,Tim,Sao Jose Dos Pinhais,-25.53667,-49.20028,2G 3G 4G
563269,Tim,Curitiba,-25.448389,-49.289139,2G 3G 4G 5G
563285,Tim,Curitiba,-25.544583,-49.332389,2G 3G 4G 5G
565040,Tim,Curitiba,-25.426944,-49.237778,2G 3G 4G 5G
565105,Tim,Araucaria,-25.593889,-49.405278,2G 3G 4G 5G
565466,Tim,Curitiba,-25.424278,-49.294444,2G 3G 4G 5G
565482,Tim,Marialva,-23.486111,-51.787778,2G 3G 4G
565490,Tim,Ibipora,-23.273444,-51.054861,2G 3G 4G
565890,Tim,Cascavel,-24.95,-53.46833,2G 3G 4G 5G
566063,Tim,Matinhos,-25.845306,-48.538056,2G 3G 4G 5G
566098,Tim,Guaratuba,-25.87778,-48.57389,2G 3G 4G 5G
566268,Tim,Guaratuba,-25.865056,-48.567889,2G 3G 4G
1917757,Tim,Curitiba,-25.423139,-49.270833,2G 3G 4G 5G
2353296,Tim,Curitiba,-25.42944,-49.25194,2G 3G 4G 5G
2356066,Tim,Curitiba,-25.411361,-49.235139,2G 3G 4G 5G
2356082,Tim,Curitiba,-25.485278,-49.244167,2G 3G 4G 5G
2356090,Tim,Curitiba,-25.411194,-49.347139,2G 3G 4G 5G
2358794,Tim,Pontal Do Parana,-25.655481,-48.442801,2G 3G 4G 5G
2358816,Tim,Pontal Do Parana,-25.580284,-48.358932,2G 3G 4G 5G
2358832,Tim,Colombo,-25.29694,-49.22583,2G 3G 4G 5G
2360454,Tim,Curitiba,-25.470917,-49.298194,2G 3G 4G 5G
2360462,Tim,Fazenda Rio Grande,-25.642333,-49.316778,2G 3G 4G
2360470,Tim,Quatro Barras,-25.369722,-49.075278,2G 3G 4G
4724186,Tim,Curitiba,-25.381165,-49.264684,2G 3G 4G 5G
4724194,Tim,Curitiba,-25.434444,-49.275833,2G
4724216,Tim,Curitiba,-25.429694,-49.266472,2G 3G 4G 5G
4724224,Tim,Curitiba,-25.431694,-49.273417,2G 3G 4G 5G
4724240,Tim,Curitiba,-25.437528,-49.277778,2G 3G 4G 5G
4724259,Tim,Curitiba,-25.44375,-49.2835,2G 3G 4G 5G
4724275,Tim,Curitiba,-25.42444,-49.28083,2G 3G 4G 5G
4724291,Tim,Curitiba,-25.413889,-49.280833,2G 3G 4G 5G
4724305,Tim,Curitiba,-25.448083,-49.221028,2G 3G 4G 5G
4724313,Tim,Curitiba,-25.413222,-49.208278,2G 3G 4G 5G
4724321,Tim,Curitiba,-25.39056,-49.23861,2G 3G 4G 5G
4726448,Tim,Curitiba,-25.53575,-49.289333,2G 3G 4G 5G
4726456,Tim,Curitiba,-25.453333,-49.267222,2G 3G 4G 5G
4726502,Tim,Curitiba,-25.419722,-49.266417,2G 3G 4G 5G
4726537,Tim,Sao Jose Dos Pinhais,-25.50833,-49.16917,2G 3G 4G 5G
6585752,Tim,Cambe,-23.28225,-51.265444,2G 3G 4G
6585817,Tim,Cambira,-23.601806,-51.577111,2G 3G 4G
355895692,Tim,Cianorte,-23.66083,-52.61083,2G 3G 4G
355895706,Tim,Campo Mourao,-24.047583,-52.375028,2G 3G 4G
355895714,Tim,Goioere,-24.187861,-53.025056,2G 3G 4G
355895730,Tim,Maringa,-23.422528,-51.935694,2G 3G 4G 5G
355895749,Tim,Maringa,-23.437806,-51.936722,2G 3G 4G 5G
355895757,Tim,Maringa,-23.437389,-51.962111,2G 3G 4G 5G
355895765,Tim,Maringa,-23.423889,-51.916111,2G 3G 4G 5G
355895781,Tim,Maringa,-23.410722,-51.914944,2G 3G 4G
355895790,Tim,Palotina,-24.28175,-53.838444,2G 3G 4G
355895811,Tim,Umuarama,-23.75797,-53.30306,2G 3G 4G
399914234,Vivo,Curitiba,-25.37278,-49.27556,2G 3G 4G
399914315,Vivo,Curitiba,-25.40583,-49.22222,2G 3G 4G
399914331,Vivo,Curitiba,-25.41056,-49.27083,5G
399914358,Vivo,Curitiba,-25.41861,-49.28917,2G 3G 4G
399914366,Vivo,Curitiba,-25.41917,-49.25778,2G 3G 4G 5G
399914382,Vivo,Curitiba,-25.43111,-49.36806,2G 3G 4G
399914420,Vivo,Curitiba,-25.43139,-49.30222,2G 3G 4G 5G
399914765,Vivo,Curitiba,-25.42528,-49.24333,2G 3G 4G 5G
399914773,Vivo,Curitiba,-25.43222,-49.28194,2G 3G 4G
399914790,Vivo,Curitiba,-25.43417,-49.25611,2G 3G 4G 5G
399914803,Vivo,Curitiba,-25.44139,-49.27056,2G 3G 4G 5G
399914811,Vivo,Curitiba,-25.46278,-49.30667,2G 3G 4G
399914838,Vivo,Curitiba,-25.44833,-49.27917,2G 3G 4G
399914854,Vivo,Curitiba,-25.45361,-49.26278,2G 3G 4G 5G
399914862,Vivo,Curitiba,-25.44472,-49.22778,5G
399914889,Vivo,Curitiba,-25.47972,-49.34194,2G 3G 4G
399914900,Vivo,Curitiba,-25.47361,-49.27278,2G 3G 4G
399914927,Vivo,Curitiba,-25.478055,-49.194999,2G 3G 4G
399914951,Vivo,Curitiba,-25.48722,-49.22694,2G 3G 4G
399914978,Vivo,Curitiba,-25.53694,-49.27944,2G 3G 4G
399914994,Vivo,Sao Jose Dos Pinhais,-25.5175,-49.180555,2G 3G 4G
399915524,Vivo,Curitiba,-25.52972,-49.32778,2G 3G 4G
399915532,Vivo,Araucaria,-25.548333,-49.355833,2G 3G 4G
399915559,Vivo,Pinhais,-25.41889,-49.1825,2G 3G 4G
399915710,Vivo,Curitiba,-25.40333,-49.28917,2G 3G 4G
399915737,Vivo,Colombo,-25.37889,-49.18361,2G 3G 4G
399915753,Vivo,Araucaria,-25.589167,-49.396667,2G 3G 4G
399915893,Vivo,Sao Jose Dos Pinhais,-25.54222,-49.21556,2G 3G 4G
399915958,Vivo,Sao Jose Dos Pinhais,-25.562222,-49.188333,2G 3G 4G
399915974,Vivo,Piraquara,-25.445833,-49.062222,2G 3G 4G
399916350,Vivo,Campina Grande Do Sul,-25.31,-49.06056,2G 3G 4G
399916369,Vivo,Colombo,-25.29694,-49.23111,2G 3G 4G
399916377,Vivo,Colombo,-25.352777,-49.221111,2G 3G 4G
399916393,Vivo,Almirante Tamandare,-25.31583,-49.3025,2G 3G 4G
399916415,Vivo,Campo Largo,-25.45528,-49.55889,2G 3G 4G
399916423,Vivo,Campo Largo,-25.4575,-49.52694,2G 3G 4G
399916458,Vivo,Curitiba,-25.50917,-49.26417,2G 3G 4G
399916466,Vivo,Paranagua,-25.52333,-48.52028,2G 3G 4G
399916474,Vivo,Paranagua,-25.549603,-48.550322,2G 3G 4G
399916636,Vivo,Matinhos,-25.805,-48.53028,2G 3G 4G
399916644,Vivo,Pontal Do Parana,-25.56917,-48.36639,2G 3G 4G
399916660,Vivo,Pontal Do Parana,-25.69722,-48.47361,2G 3G 4G
399916776,Vivo,Matinhos,-25.83833,-48.54028,2G 3G 4G
399916806,Vivo,Ponta Grossa,-25.10528,-50.16056,2G 3G 4G
399916822,Vivo,Ponta Grossa,-25.095,-50.12667,2G 3G 4G
399916857,Vivo,Ponta Grossa,-25.085833,-50.18,2G 3G 4G 5G
