UC,LATITUDE,LONGITUDE
65725492,-25.50998,-54.59592
45277141,-25.50415,-54.59288
43733000,-25.52387,-54.59195
72858710,-25.54422,-54.59181
70226822,-25.54657,-54.59129
100211682,-25.51545,-54.59073
9589406,-25.54129,-54.59057
70225877,-25.54611,-54.59054
74853287,-25.51539,-54.5901
78483549,-25.54795,-54.58995
98395017,-25.59,-54.5897
62386620,-25.5459,-54.58956
77292278,-25.53055,-54.58946
89172701,-25.5339,-54.58945
48461148,-25.54584,-54.58931
40175324,-25.53822,-54.58931
9589597,-25.50699,-54.58925
89329139,-25.52997,-54.58923
44946384,-25.53054,-54.58921
74405187,-25.50878,-54.58857
76016714,-25.51407,-54.5884
29010713,-25.51697,-54.58827
104074493,-25.50713,-54.58825
86925334,-25.53451,-54.58817
86600290,-25.53469,-54.58816
34762590,-25.54085,-54.58803
40191311,-25.53107,-54.58799
9589465,-25.53407,-54.58792
44773439,-25.53987,-54.5878
68578687,-25.5418,-54.5878
22302573,-25.5374,-54.58753
51003120,-25.54328,-54.58739
43743870,-25544,-54.58725
9588299,-25.54097,-54.58714
64646181,-25.54433,-54.58713
9588302,-25.54249,-54.58701
86352644,-25.54863,-54.58699
54948550,-25.54185,-54.5867
44351810,-25.54452,-54.5867
67967000,-25.54291,-54.58665
23437855,-25.54333,-54.5866
63960621,-25.54873,-54.58657
76631729,-25.50756,-54.58637
9589899,-25.53848,-54.58637
96446609,-25.53493,-54.58637
44507690,-25.54604,-54.5862
19452276,-25.54604,-54.5862
48070955,-25.50543,-54.58615
33382590,-25.5443,-54.5861
77540921,-25.53746,-54.5861
75065088,-25.53458,-54.58608
59604093,-25.54306,-54.58607
80726372,-25.53097,-54.58604
37142895,-25.52703,-54.58598
68501196,-25.51668,-54.58597
93323565,-25.51632,-54.58585
94297371,-25.54708,-54.58584
83503641,-25.51874,-54.58578
49633600,-25.54488,-54.58573
91409195,-25.54286,-54.58557
67355722,-25.54286,-54.58557
67793525,-25.54202,-54.58549
57702780,-25.53645,-54.58544
38823632,-25.53412,-54.58534
73096962,-25.53443,-54.58528
41723031,-25.54251,-54.58524
68351321,-25.52218,-54.58516
40115984,-25.50423,-54.58515
93096003,-25.54786,-54.58508
