nome,uc,municipio_uc,latitude_uc,longitude_uc,macroregiao,regional
SDT-LNA-86125850-BANCO SANTANDER (BRASIL) S.A.,86125850,LONDRINA,-23.3009,-51.18724,SDT,LNA
SDT-CPO-23702680-RODRIGO ITIMURA DE OLIVEIRA MACHADO,23702680,CONGONHINHAS,-23.52346,-50.56417,SDT,CPO
SDN-PVI-92285660-GARCIA MUSACHI METAIS SANITARIOS EIRELI,92285660,LOANDA,-22.92425,-53.15179,SDN,PVI
SDO-TDO-46587900-SERVICO AUTONOMO DE AGUA E ESGOTO,46587900,MARECHAL CANDIDO RONDON,-24.52718,-54.0412,SDO,TDO
SDN-UMU-33375453-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,33375453,MOREIRA SALES,-24.0419,-53.02094,SDN,UMU
SDT-APA-87212277-LP RADIODIFUSAO LTDA ME,87212277,ARAPONGAS,-23.36988,-51.40675,SDT,APA
SDN-MGA-45973113-JUSTICA FEDERAL DE PRIMEIRO GRAU NO PARANA,45973113,MARINGA,-23.41694,-51.93624,SDN,MGA
SDL-SJP-104563397-MUNICIPIO DE SAO JOSE DOS PINHAIS,104563397,SAO JOSE DOS PINHAIS,-25.53699,-49.15587,SDL,SJP
SDL-CTA-92103804-TELEFONICA BRASIL SA,92103804,CURITIBA,-25.43296,-49.27813,SDL,CTA
SDL-LIT-92760422-TERMINAL PORTUARIO SEARA SA,92760422,PARANAGUA,-25.54178,-48.53885,SDL,LIT
SDC-PGO-66210364-PHILUS ADMINISTRACAO E PARTICIPACOES LTDA,66210364,PONTA GROSSA,-25.09227,-50.10904,SDC,PGO
SDC-IRT-68408218-CERAMICA ROTTER LTDA,68408218,PRUDENTOPOLIS,-25.20178,-50.96212,SDC,IRT
SDN-MGA-84156171-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,84156171,MARINGA,-23.36821,-52.07174,SDN,MGA
SDO-FBL-83074953-NUTRIPAR LTDA,83074953,DOIS VIZINHOS,-25.79888,-53.03406,SDO,FBL
SDC-IRT-71067035-AGUIA INDUSTRIA COMERCIO E DISTRIBUICAO LTDA,71067035,IRATI,-25.45674,-50.60569,SDC,IRT
SDL-SJP-59238275-R PALU INDUSTRIA E COMERCIO DE MADEIRAS,59238275,MANDIRITUBA,-25.78312,-49.33205,SDL,SJP
SDN-PVI-63896419-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,63896419,PLANALTINA DO PARANA,-23.0204,-52.91995,SDN,PVI
SDL-CTA-76047083-LUVAS YELING LTDA,76047083,CURITIBA,-25.48669,-49.31707,SDL,CTA
SDT-LNA-50035452-MOINHO GLOBO ALIMENTOS S A,50035452,SERTANOPOLIS,-23.06099,-51.03829,SDT,LNA
SDL-CTA-66233488-NILO TOZZO & CIA LTDA,66233488,CURITIBA,-25.54916,-49.28596,SDL,CTA
SDN-UMU-93067895-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,93067895,CRUZEIRO DO OESTE,-23.79085,-53.04461,SDN,UMU
SDO-PTO-64351882-KAMARO ARTES GRAFICAS LTDA,64351882,PATO BRANCO,-26.20152,-52.67902,SDO,PTO
SDT-APA-50190849-QMOVI INDUSTRIA MOVELEIRA LTDA.,50190849,ARAPONGAS,-23.38527,-51.42348,SDT,APA
SDL-SJP-89788583-BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS AGRICOLAS S.A,89788583,LAPA,-25.72823,-49.70026,SDL,SJP
SDL-CTA-69758794-HOSPITAL CARDIOLOGICO COSTANTINI LTDA,69758794,CURITIBA,-25.46291,-49.29955,SDL,CTA
SDT-CPO-46475117-BUSSADORI GARCIA & CIA LTDA,46475117,ASSAI,-23.38002,-50.8526,SDT,CPO
SDO-CEL-8529329-METROPOLITANA TRATORES LTDA,8529329,CASCAVEL,-24.94931,-53.43039,SDO,CEL
SDC-UVI-47880910-LETICIA INDUSTRIA E COMERCIO DE METAIS LTDA EPP,47880910,SAO MATEUS DO SUL,-25.86783,-50.39932,SDC,UVI
SDO-PTO-46563539-GUENTER STEFAN DUCH,46563539,MANGUEIRINHA,-26.10166,-52.2264,SDO,PTO
SDL-LIT-19450788-COTRIGUACU COOPERATIVA CENTRAL,19450788,PARANAGUA,-25.50792,-48.51295,SDL,LIT
SDO-TDO-74904124-BRF SA,74904124,TOLEDO,-24.57435,-53.80952,SDO,TDO
SDT-APA-38703483-POLIMAN INDUSTRIA E COMERCIO DE MOVEIS LTDA,38703483,ARAPONGAS,-23.37985,-51.45159,SDT,APA
SDL-CBN-38202441-MEGATECH BRASIL COMPONENTES AUTOMOTIVOS LTDA,38202441,QUATRO BARRAS,-25.37917,-49.05198,SDL,CBN
SDC-PGO-39900150-TETRA PAK LTDA,39900150,PONTA GROSSA,-25.15763,-50.13098,SDC,PGO
SDL-SJP-97843210-CONDOR SUPER CENTER LTDA,97843210,ARAUCARIA,-25.60065,-49.38016,SDL,SJP
SDL-CBN-84411554-CONDUSTEIN CONDUTORES ELETRICOS LTDA,84411554,COLOMBO,-25.35369,-49.2194,SDL,CBN
